meeting_id,title,organizer_email,host,start_time,end_time,duration_minutes
01KQ03B0303900521BB089CA,Detect Outage - Remediation Plan Review,megan.lawson@aegiscloud.com,megan.lawson@aegiscloud.com,2026-03-16 09:30:00+00:00,2026-03-16 10:05:12+00:00,35.2000000000000028421709430404007434844970703125
01KQ0C1280EDA4E70AAD7C35,Support Case #9279 - Summit Trust Billing Inquiry,sarah.chen@aegiscloud.com,sarah.chen@aegiscloud.com,2026-02-06 09:15:00+00:00,2026-02-06 09:38:48+00:00,23.800000000000000710542735760100185871124267578125
01KQ0CAE7F064EC93F0540CA,Weekly Engineering Standup,chris.lee@aegiscloud.com,chris.lee@aegiscloud.com,2026-02-16 10:00:00+00:00,2026-02-16 10:29:00+00:00,29
01KQ0DFE299AC7A74E8022CA,Aegis / Redwood Clinical - ISO 27001 Preparation,kevin.obrien@aegiscloud.com,kevin.obrien@aegiscloud.com,2026-04-26 13:30:00+00:00,2026-04-26 13:58:48+00:00,28.800000000000000710542735760100185871124267578125
01KQ0F8AFF3DA34FD4580008,Aegis / Cobalt Software - Q2 Planning,lisa.park@aegiscloud.com,lisa.park@aegiscloud.com,2026-04-11 14:15:00+00:00,2026-04-11 14:56:12+00:00,41.2000000000000028421709430404007434844970703125
01KQ1267C6AA7D9B3125FEC8,SOC 2 Audit Preparation - Internal,tyler.washington@aegiscloud.com,tyler.washington@aegiscloud.com,2026-02-26 10:15:00+00:00,2026-02-26 10:51:54+00:00,36.89999999999999857891452847979962825775146484375
01KQ1A6B7E81B06F4A13B60D,Support Case #6977 - Brightpath Commerce Slow Backup Performance,david.kim@aegiscloud.com,david.kim@aegiscloud.com,2026-02-21 11:30:00+00:00,2026-02-21 11:45:48+00:00,15.800000000000000710542735760100185871124267578125
01KQ1DC6CA536DE1B31ED8F5,Aegis / Atlas Precision - Contract Discussion,rachel.torres@aegiscloud.com,rachel.torres@aegiscloud.com,2026-02-25 15:00:00+00:00,2026-02-25 15:33:30+00:00,33.5
01KQ1DCC80852AE384C898C9,Aegis / Quantum Edge - Renewal Concerns,maria.santos@aegiscloud.com,maria.santos@aegiscloud.com,2026-03-19 16:00:00+00:00,2026-03-19 16:45:00+00:00,45
01KQ1DE954A807A5D2653175,Comply v2 - Launch Readiness Review,megan.lawson@aegiscloud.com,megan.lawson@aegiscloud.com,2026-03-24 14:45:00+00:00,2026-03-24 15:24:18+00:00,39.2999999999999971578290569595992565155029296875
01KQ2217B066855A3B7814CB,Aegis / Meridian Capital - Service Reliability Discussion,rachel.torres@aegiscloud.com,rachel.torres@aegiscloud.com,2026-03-14 11:45:00+00:00,2026-03-14 12:28:24+00:00,43.39999999999999857891452847979962825775146484375
01KQ2331EFD78BF3B1CAB747,Detect Outage - Customer Impact Assessment,lisa.park@aegiscloud.com,lisa.park@aegiscloud.com,2026-03-12 13:45:00+00:00,2026-03-12 14:33:00+00:00,48
01KQ25D8AED944B5D2A9FF60,Support Case #1514 - Meridian Capital Granular Restore Request,sarah.chen@aegiscloud.com,sarah.chen@aegiscloud.com,2026-03-26 14:00:00+00:00,2026-03-26 14:19:18+00:00,19.300000000000000710542735760100185871124267578125
01KQ298F2846EFE59B0D70E2,Competitive Threat Assessment - Post Outage,megan.lawson@aegiscloud.com,megan.lawson@aegiscloud.com,2026-03-20 15:30:00+00:00,2026-03-20 15:56:12+00:00,26.199999999999999289457264239899814128875732421875
